Job Title,Company,Skills,Location,Salary,Experience,Posted,Link
Junior Accountant,Confederation Of Global Innovators (CGI),"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally","Delhi,Gurgaon","₹ 2,00,000 - 7,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-accountant-job-in-multiple-locations-at-confederation-of-global-innovators-cgi1765536156
Corporate Sales Executive,Blucactus,"Communication Skills, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Excel, Sales Management, Sales Strategy",Work from home,"₹ 2,00,000 - 7,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-corporate-sales-executive-job-at-blucactus1764673440
Field Sales Executive,ZICO MACHINES PVT LTD,"Computer skills, Effective Communication, Interpersonal skills, MS-Excel",Work from home,"₹ 2,00,000 - 7,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-field-sales-executive-job-at-zico-machines-pvt-ltd1764093068
Estimation Engg,Design Kraft Solutions,"AutoCAD, MS-Excel",Gurgaon,"₹ 2,00,000 - 6,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-estimation-engg-job-in-gurgaon-at-design-kraft-solutions1764836338
Inside Sales Representative (ISR) - Lead Generation (UK Sales),ASCP GPUONCLOUD Private Limited,"Attention to Detail, B2B Sales, Client Interaction, Client Relationship Management (CRM), Cold Calling, Collaboration, Effective Communication, Interpersonal skills, Lead Generation, Sales Support, Time Management",Pune,"₹ 2,00,000 - 6,00,000",1 year(s),6 days ago,https://internshala.com/job/detail/inside-sales-representative-isr-lead-generation-uk-sales-job-in-pune-at-ascp-gpuoncloud-private-limited1765889134
Field Sales Associate,Vaibhav Industries,"Data Analysis, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, MS-Excel, Sales, Salesforce, Sales Management, Sales Strategy, Sales Support, Self-learning",Jaipur,"₹ 2,00,000 - 6,00,000",1 year(s),6 days ago,https://internshala.com/job/detail/field-sales-associate-job-in-jaipur-at-vaibhav-industries1765860919
Video Editor,NexGen Innovators IT Services Private Limited,"Adobe After Effects, Adobe Premiere Pro, Capcut, Effective Communication",Delhi,"₹ 2,00,000 - 6,00,000",1 year(s),4 days ago,https://internshala.com/job/detail/video-editor-job-in-delhi-at-nexgen-innovators-it-services-private-limited1766052280
Crypto/Forex Trader,Trading Fox Private Limited,"Data Analytics, Investing, Stock Trading, Technical Analysis",Jaipur,"₹ 2,00,000 - 6,00,000",1 year(s),4 days ago,https://internshala.com/job/detail/crypto-forex-trader-job-in-jaipur-at-trading-fox-private-limited1766053798
Software Developer - Cloud,ArivuGen,"DevOps, GraphQL, REST API",Chennai,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/software-developer-cloud-job-in-chennai-at-arivugen1764138121
Interior Designer,Zenia Hospitality,"Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Google SketchUp",Mumbai,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-interior-designer-job-in-mumbai-at-zenia-hospitality1763994635
Business Development Executive,Zenia Hospitality,"Business Analysis, Business Development, Business Management, Client Relationship Management (CRM), Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing",Mumbai,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-mumbai-at-zenia-hospitality1763994869
PHP Developer,Alphawizz Technologies Private Limited,"CodeIgniter, Laravel, PHP",Indore,"₹ 2,00,000 - 6,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/php-developer-job-in-indore-at-alphawizz-technologies-private-limited1765962821
Graphic Designer,RABLIK PRIVATE LIMITED,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, CorelDRAW, UI & UX Design",Raipur(Hybrid),"₹ 2,00,000 - 6,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-graphic-designer-job-in-raipur-at-rablik-private-limited1765855720
Field Sales Executive,Nestrov Consulting Private Limited,"Client Relationship Management (CRM), Effective Communication",Pune,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/field-sales-executive-job-in-pune-at-nestrov-consulting-private-limited1765515036
Project Coordinator (IT),LBM Solutions Private Limited,"Collaboration, Coordination, Project Management, Team Management",Mohali,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/project-coordinator-it-job-in-mohali-at-lbm-solutions-private-limited1765257907
Operations Executive,Mitesh Kumbhar,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Sion Koliwada,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-executive-job-in-sion-koliwada-at-mitesh-kumbhar1764999915
Operations Executive,Travel Villa,"Communication Skills, English Proficiency (Spoken), English Proficiency (Written), Operations, Problem Solving, Reporting, Time Management",Jaipur,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-executive-job-in-jaipur-at-travel-villa1764683186
Graphic Designer,The Tiles Of India,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW",Mumbai,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/graphic-designer-job-in-mumbai-at-the-tiles-of-india1764575528
Executive (GST),TAXEL Consultancy Services,"Accounting, Financial Reporting, GST, Taxation","Gandhinagar,Vadodara","₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-executive-gst-job-in-multiple-locations-at-taxel-consultancy-services1764233945
B2B Sales Executive,PROHR Strategies Private Limites,"B2B Sales, Effective Communication, Lead Generation",Work from home,"₹ 2,00,000 - 6,00,000",0 year(s),3 days ago,https://internshala.com/job/detail/fresher-remote-b2b-sales-executive-job-at-prohr-strategies-private-limites1766132264
Marketing Head,GoKapture,"Community Management, Marketing, Marketing Automation, Marketing Strategies",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),4 days ago,https://internshala.com/job/detail/remote-marketing-head-job-at-gokapture1766040874
Junior Social Media Marketing Associate,Njtechnos,"Digital Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/remote-junior-social-media-marketing-associate-job-at-njtechnos1765954881
Sourcing Assistant (Hyderabad Only),Hamida Enterprises,"Recruitment, Sales",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-sourcing-assistant-hyderabad-only-job-at-hamida-enterprises1765449998
Telecalling (Tamil/Telugu/Malayalam),Inspacco,"Computer skills, Effective Communication, Vendor Management, Vendor Negotiation",Work from home,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-telecalling-tamil-telugu-malayalam-job-at-inspacco1765432167
Online Teacher,Kidway Education Private Limited,"Effective Communication, English Proficiency (Spoken), Logical reasoning",Work from home,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-online-teacher-job-at-kidway-education-private-limited1765183448
Non-IT Recruitment Specialist – Permanent Hiring,ConsultBae,"Client Relationship, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment",Gurgaon,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/non-it-recruitment-specialist--permanent-hiring-job-in-gurgaon-at-consultbae1764938299
Junior Social Media Marketing Associate,Infinite Thinking Solutions (ITS),"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-junior-social-media-marketing-associate-job-at-infinite-thinking-solutions-its1764931044
Associate Accountant,Pritish Dave,"Accounting, MS-Office, Tally",Mumbai,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-associate-accountant-job-in-mumbai-at-pritish-dave1764580768
Sales & Service Executive,GlamLooks Studio.Pvt.Ltd,"Customer Support, Sales",Pune,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/sales-service-executive-job-in-pune-at-glamlooks-studiopvtltd1764483406
Engineering Associate,Weekday,React,Gurgaon,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-engineering-associate-job-in-gurgaon-at-weekday1764319083
Senior Backend Developer,ARC Technologies,"FastAPI, Generative AI Development, Generative AI Tools, LLMOps, MongoDB, Python, REST API, TypeScript",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-senior-backend-developer-job-at-arc-technologies1764312792
Video Editor,Stinson Thomas,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Video Editing",Work from home,"₹ 2,00,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/remote-part-time-video-editor-job-at-stinson-thomas1764244447
Lawyer,Zenia Hospitality,"Auditing, Legal Research, Statutory compliances",Mumbai(Hybrid),"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-lawyer-job-in-mumbai-at-zenia-hospitality1763995111
Accountant,Zenia Hospitality,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Zoho Books",Mumbai,"₹ 2,00,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-accountant-job-in-mumbai-at-zenia-hospitality1763993571
Business Development Executive,Digitals Daddy,"Business Development, Client Interaction, Client Relationship, Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Inside Sales, Sales, Salesforce","Gurgaon,Sikanderpur","₹ 2,00,000 - 5,90,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-executive-job-in-gurgaon-at-digitals-daddy1765514009
Data Analyst,Raghav Anand,"C++ Programming, Data Science, MS-Excel, MS-Office, Python, Stock Trading","Chandigarh,Ludhiana,Delhi(Hybrid)","₹ 2,00,000 - 5,80,000",0 year(s),Today,https://internshala.com/job/detail/fresher-data-analyst-job-in-multiple-locations-at-raghav-anand1766397143
Video Editor,Zenia Hospitality,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",Mumbai,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-video-editor-job-in-mumbai-at-zenia-hospitality1763997990
Hotel Management Manager,Zenia Hospitality,Management,Mumbai,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-hotel-management-manager-job-in-mumbai-at-zenia-hospitality1763997545
Junior Operations Manager,Zenia Hospitality,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word",Mumbai,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-operations-manager-job-in-mumbai-at-zenia-hospitality1763999213
Junior Social Media Marketing Manager,Zenia Hospitality,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Mumbai,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-social-media-marketing-manager-job-in-mumbai-at-zenia-hospitality1763997083
Creative Designer,Zenia Hospitality,"Adobe After Effects, Adobe Creative Suite, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro",Mumbai,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-creative-designer-job-in-mumbai-at-zenia-hospitality1763995380
3d Visualiser,Fute Services,"Adobe Photoshop Lightroom CC, Autodesk 3ds Max, Rendering",Work from home,"₹ 2,00,000 - 5,50,000",1 year(s),6 days ago,https://internshala.com/job/detail/remote-3d-visualiser-job-at-fute-services1765861489
Inisde Sales Executive,Solasta Ayer Consultant,Sales,Bangalore,"₹ 2,00,000 - 5,50,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-inisde-sales-executive-job-in-bangalore-at-solasta-ayer-consultant1764657958
LaTeX/XML Typesetting Specialist,QA Solvers,"Automation, XML",Work from home,"₹ 2,00,000 - 5,50,000",0 year(s),2 days ago,https://internshala.com/job/detail/fresher-remote-latex-xml-typesetting-specialist-job-at-qa-solvers1766208922
Data Analytics Associate,Astrazure E Ventures Private Limited,"Analytical Thinking, Computer skills, Data Science, Effective Communication, MS-Excel, Technical Support",Gurgaon,"₹ 2,00,000 - 5,50,000",1 year(s),6 days ago,https://internshala.com/job/detail/data-analytics-associate-job-in-gurgaon-at-astrazure-e-ventures-private-limited1765888134
Business Research Associate,KNP Arises Green Energy Private Limited,"Effective Communication, Project Management",Gurgaon,"₹ 2,00,000 - 5,50,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-business-research-associate-job-in-gurgaon-at-knp-arises-green-energy-private-limited1765866168
Full-Stack Engineer (AI + Web Platform),Richa Bahety,"Computer Vision, Git, Image Editing, Next.js, OpenCV, Python, React, Vercel, Web development",Work from home,"₹ 2,00,000 - 5,50,000",1 year(s),N/A,https://internshala.com/job/detail/remote-full-stack-engineer-ai-web-platform-job-at-richa-bahety1764836737
Senior Travel & Tourism Associate,Apple Academy Consultants,"Client Relationship, Communication Skills, English Proficiency (Spoken), Holiday Package Design, Travel Itinerary Making",Hyderabad,"₹ 2,00,000 - 5,50,000",1 year(s),N/A,https://internshala.com/job/detail/senior-travel-tourism-associate-job-in-hyderabad-at-apple-academy-consultants1764160481
Junior Lead Generation Associate,Madafu Designs PVT Ltd,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing",Work from home,"₹ 2,00,000 - 5,40,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-remote-junior-lead-generation-associate-job-at-madafu-designs-pvt-ltd1764927047
Business Development Associate,Interactive Skills,"Business Development, Effective Communication, English Proficiency (Written), Marketing, Market research, MS-Excel, MS-Word, Sales",Mumbai,"₹ 2,00,000 - 5,28,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-interactive-skills1763982153
Telecaller,Plus91 Technologies,"Client Relationship Management (CRM), English Proficiency (Spoken), Hindi Proficiency (Spoken), HubSpot, Lead Generation, MS-Excel, Sales, Salesforce, Zoho CRM",Pune,"₹ 2,00,000 - 5,20,050",1 year(s),N/A,https://internshala.com/job/detail/telecaller-job-in-pune-at-plus91-technologies1765446677
Junior Travel & Tourism Specialist,Awaiting Adventures Tours And Travels,"Client Relationship Management (CRM), Communication Skills, English Proficiency (Spoken), English Proficiency (Written), Holiday Package Design, MS-Excel, Travel Itinerary Making, Travel Management, Vendor Negotiation",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),Today,https://internshala.com/job/detail/fresher-junior-travel-tourism-specialist-job-in-mumbai-at-awaiting-adventures-tours-and-travels1766404150
Graphic Designer,NexGen Innovators IT Services Private Limited,"Adobe Illustrator, Adobe Photoshop, English Proficiency (Spoken), Figma, Graphic Design, Typography, Visual Design",Delhi,"₹ 2,00,000 - 5,00,000",1 year(s),Today,https://internshala.com/job/detail/graphic-designer-job-in-delhi-at-nexgen-innovators-it-services-private-limited1766390051
Content & E-commerce Management Specialist,Alpha Digital Corp,"E-commerce, English Proficiency (Written), Facebook Ads, MS-Excel, Paid Advertising",Mumbai,"₹ 2,00,000 - 5,00,000",1 year(s),4 days ago,https://internshala.com/job/detail/content-e-commerce-management-specialist-job-in-mumbai-at-alpha-digital-corp1766044189
Draftsman (Steel Structure),SPARKSPRINT SERVICES PRIVATE LIMITED,Sketching,Ghaziabad,"₹ 2,00,000 - 5,00,000",1 year(s),3 days ago,https://internshala.com/job/detail/draftsman-steel-structure-job-in-ghaziabad-at-sparksprint-services-private-limited1766140579
Field Sales Executive,Bubb,English Proficiency (Spoken),Hyderabad,"₹ 2,00,000 - 5,00,000",1 year(s),7 days ago,https://internshala.com/job/detail/field-sales-executive-job-in-hyderabad-at-kanishk-sen1765801869
PPC Executive/Digital Marketing Specialist,Vaidik EduServices Private Limited,"Digital Advertising, Marketing",Noida,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/ppc-executive-digital-marketing-specialist-job-in-noida-at-vaidik-eduservices-private-limited1765441021
Human Resources (HR) Executive,Sara Management Solution Private Limited,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",Pune,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/human-resources-hr-executive-job-in-pune-at-sara-management-solution-private-limited1764823439
Equity Dealer - Equity Operations Manager,Eqisol Services Pvt Ltd,MS-Excel,Mumbai,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/equity-dealer-equity-operations-manager-job-in-mumbai-at-eqisol-services-pvt-ltd1765183238
Graphic Designer,Arista,"Adobe Illustrator, Adobe Photoshop, CorelDRAW",Hyderabad,"₹ 2,00,000 - 5,00,000",1 year(s),2 days ago,https://internshala.com/job/detail/graphic-designer-job-in-hyderabad-at-arista1766251400
Additive Manufacturing Executive,MEGHA GOLD PRIVATE LIMITED,"3D Modeling, 3D Printing, AutoCAD, Circuit Modeling & Simulation, CNC, CNC Programming, Mechanical & Electrical Product Design",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-additive-manufacturing-executive-job-in-mumbai-at-megha-gold-private-limited1762940756
Digital Marketing Associate,ASHOK & CO.,"Creative Writing, Digital Marketing, Instagram Marketing, Photography, Search Engine Optimization (SEO)",Jaipur,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/digital-marketing-associate-job-in-jaipur-at-ashok-co1765167291
Swim Teacher,Water Town Swim School,"English Proficiency (Spoken), Operations, Psychology, Teaching","Delhi,Greater Noida,Noida","₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/swim-teacher-job-in-multiple-locations-at-water-town-swim-school1765536419
Business Development Associate,Enpointe,"Adaptability, Client Relationship Management (CRM), Collaboration, Effective Communication, Negotiation, Networking, Organizational Development, Presentation skills, Prospecting, Research and Analytics, Strategy",Mumbai,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-associate-job-in-mumbai-at-enpointe1764577412
Hospitality Executive,Zenia Hospitality,"English Proficiency (Spoken), English Proficiency (Written), Hospitality",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-hospitality-executive-job-in-mumbai-at-zenia-hospitality1762164671
Telecaller,Zenia Hospitality,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-telecaller-job-in-mumbai-at-zenia-hospitality1763995246
Telecaller,Limescreen Entertainment & Productions,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Kannada Proficiency (Spoken)",Bangalore,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-telecaller-job-in-bangalore-at-limescreen-entertainment-productions1764219487
Associate Photographer,Water Town Swim School,"Adobe Photoshop, Adobe Photoshop Lightroom CC, File Management, Photography, Time Management","Delhi,Gurgaon,Noida","₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/associate-photographer-job-in-multiple-locations-at-water-town-swim-school1765629193
Branch Accountant,Welmade Locking System,"Accounting, Inventory Management, MS-Excel",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),2 days ago,https://internshala.com/job/detail/fresher-branch-accountant-job-in-mumbai-at-welmade-locking-system1766253362
Business Development Executive,Applination Softech,"Business Development, English Proficiency (Spoken), Sales Strategy",Lucknow,"₹ 2,00,000 - 5,00,000",1 year(s),4 days ago,https://internshala.com/job/detail/business-development-executive-job-in-lucknow-at-applination-softech1766049234
Junior Search Engine Optimization (SEO) Specialist,Zyneto Global Technologies,"Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",Jaipur,"₹ 2,00,000 - 5,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/junior-search-engine-optimization-seo-specialist-job-in-jaipur-at-zyneto-global-technologies1765972771
Retails Store Sales Executive,Jipanditji,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Negotiation, Presentation skills, Sales",Ghaziabad,"₹ 2,00,000 - 5,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/retails-store-sales-executive-job-in-ghaziabad-at-jipanditji1765963370
Customer Service Associate,Unison Enterprise Solutions,"English Proficiency (Spoken), English Proficiency (Written)",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-customer-service-associate-job-in-mumbai-at-unison-enterprise-solutions1765962931
Associate Content Writer,G Connect Solutions,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing",Bangalore,"₹ 2,00,000 - 5,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/associate-content-writer-job-in-bangalore-at-g-connect-solutions1765957860
Content & E-commerce Management Trainee,WonderVed Junior,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel",Kalyan(Hybrid),"₹ 2,00,000 - 5,00,000",0 year(s),6 days ago,https://internshala.com/job/detail/fresher-content-e-commerce-management-trainee-job-in-kalyan-at-wonderved-junior1765887258
Accountant,VG Expert Tax Advisors LLP,"Accounting, English Proficiency (Spoken), MS-Excel, MS-Office, Tally",Hyderabad,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/accountant-job-in-hyderabad-at-vg-expert-tax-advisors-llp1765547918
Digital Marketing Associate,AMK + Partners,"Business Development, Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Lead Generation, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Mumbai,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/digital-marketing-associate-job-in-mumbai-at-amk-partners1765539467
3D Designer,ToppersNotes,"AutoCAD, Autodesk Fusion 360, Autodesk Maya, Rhino, SolidWorks",Jaipur,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/3d-designer-job-in-jaipur-at-toppersnotes1765515835
Digital Marketing Executive,Legivista Endeavour Private Limited,"Creative Writing, Digital Marketing, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing",Noida,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-digital-marketing-executive-job-in-noida-at-legivista-endeavour-private-limited1765512667
Corporate Sales Associate,Solasta Ayer Consultant,"English Proficiency (Spoken), Sales Support",Bangalore,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-bangalore-at-ashok-m1765264136
Sales Trainee,DigiFiling,Sales,Delhi,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-sales-trainee-job-in-delhi-at-digifiling1765188739
Junior Marketing Executive,TechQRT,"Digital Marketing, Email Marketing, English Proficiency (Written), LinkedIn Marketing, Social Media Marketing",Lucknow(Hybrid),"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-junior-marketing-executive-job-in-lucknow-at-techqrt1765039585
Corporate Sales Executive,Saina Events,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel",Delhi,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/corporate-sales-executive-job-in-delhi-at-saina-events1765000734
Field Sales Associate,Space Vision Group,"English Proficiency (Spoken), Telugu Proficiency (Spoken)",Hyderabad,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-field-sales-associate-job-in-hyderabad-at-space-vision-group1764932501
Operations Associate,Commure India Private Limited,"English Proficiency (Spoken), English Proficiency (Written), Logical reasoning, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Problem Solving",Gurgaon,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-operations-associate-job-in-gurgaon-at-commure-india-private-limited1764850506
Associate Telecaller,Ommify Technology Private Limited,"Cold Calling, Sales",Delhi,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/associate-telecaller-job-in-delhi-at-ommify-technology-private-limited1764772696
Junior Search Engine Optimization (SEO) Executive,VVIP Flight Pvt Ltd,Search Engine Optimization (SEO),Faridabad,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-search-engine-optimization-seo-executive-job-in-faridabad-at-vvip-flight-pvt-ltd1764754999
Digital Marketing Manager,Human Care International Private Limited,"Digital Marketing, Email Marketing, English Proficiency (Spoken), Paid Advertising, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Jaipur,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/digital-marketing-manager-job-in-jaipur-at-human-care-international-private-limited1764666284
Business Development Associate,Casa De Dormer,"AutoCAD, Communication Skills, MS-Excel",Nagpur,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-business-development-associate-job-in-nagpur-at-casa-de-dormer1764590856
Teacher,ThinkBigger Analytics,Teaching,Pune,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-teacher-job-in-pune-at-girish-gore1764401801
Travel Sales Executive,Air Paradise,"Sales, Travel Itinerary Making, Travel Management",Delhi,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/travel-sales-executive-job-in-delhi-at-air-paradise1764351600
Associate Voice Process,Pathfinder,Communication Skills,Bangalore,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-associate-voice-process-job-in-bangalore-at-pathfinder1764231909
Junior Civil Engineer,Formbid Private Limited,"AutoCAD, Construction Management",Chennai,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/junior-civil-engineer-job-in-chennai-at-formbid-private-limited1764100460
Architect,Zoma Engineers,"Adobe Illustrator, Adobe Photoshop, AutoCAD, MS-Office","South,Apollo","₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/architect-job-in-multiple-locations-at-zoma-engineers1764099485
Videographer,Karigrah Jewels Private Ltd.,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Image Editing, Photography, Video Editing, Videography",Mumbai,"₹ 2,00,000 - 5,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-videographer-job-in-mumbai-at-karigrah-jewels-private-ltd1764063213
Sales Executive,Marketing Infotech,English Proficiency (Spoken),Noida,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/sales-executive-job-in-noida-at-marketing-infotech1763980517
Digital Marketing Manager,Pixer Digital,"Creative Writing, Digital Marketing, Email Marketing, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing",Surat,"₹ 2,00,000 - 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/digital-marketing-manager-job-in-surat-at-pixer-digital1763972876
